epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,118.748,2.35106,1.24951,1.08871,0.41144,0.34105,0.32315,0.12516,2.61505,1.22301,1.07539,0.000429068,0.000429068,0.000429068
64,120.557,2.26809,1.20492,1.07108,0.43104,0.31269,0.30847,0.11712,2.75836,1.21045,1.08851,0.000418069,0.000418069,0.000418069
65,122.454,2.36511,1.29754,1.12526,0.50243,0.3287,0.31137,0.10977,2.75918,1.24083,1.09156,0.00040707,0.00040707,0.00040707
66,124.392,2.41014,1.24448,1.08369,0.49095,0.33878,0.31675,0.11612,2.69147,1.25551,1.07798,0.000396071,0.000396071,0.000396071
67,124.879,2.2102,1.24111,1.09492,0.4629,0.34809,0.32462,0.12152,2.61994,1.25123,1.06553,0.000385073,0.000385073,0.000385073
68,126.926,2.27104,1.25959,1.0768,0.43908,0.36204,0.33999,0.12242,2.5409,1.26403,1.05753,0.000374074,0.000374074,0.000374074
69,128.689,2.31086,1.31913,1.09645,0.49083,0.35658,0.35378,0.13386,2.46805,1.24251,1.04675,0.000363075,0.000363075,0.000363075
70,130.567,2.24287,1.24855,1.09389,0.56666,0.38843,0.40053,0.15135,2.44503,1.1903,1.04301,0.000352076,0.000352076,0.000352076
71,132.383,2.35511,1.29832,1.08769,0.52819,0.41995,0.39683,0.15423,2.51368,1.19536,1.04233,0.000341077,0.000341077,0.000341077
72,134.342,2.29892,1.28514,1.08715,0.5256,0.40597,0.40124,0.15119,2.56857,1.20883,1.04229,0.000330078,0.000330078,0.000330078
73,136.203,2.39606,1.25491,1.08323,0.57765,0.38605,0.37851,0.14098,2.62077,1.2379,1.04866,0.000319079,0.000319079,0.000319079
74,137.952,2.24314,1.20834,1.08034,0.54951,0.36757,0.36333,0.14019,2.58447,1.22143,1.04839,0.00030808,0.00030808,0.00030808
75,139.656,2.30256,1.27266,1.0857,0.55243,0.37766,0.37518,0.14425,2.54463,1.18059,1.04847,0.000297081,0.000297081,0.000297081
76,141.641,2.25607,1.24177,1.08287,0.50719,0.4018,0.39432,0.15097,2.47144,1.14731,1.04874,0.000286083,0.000286083,0.000286083
77,143.309,2.40765,1.23157,1.08752,0.53574,0.41307,0.39098,0.15477,2.42452,1.13723,1.04567,0.000275084,0.000275084,0.000275084
78,144.954,2.3729,1.27812,1.08594,0.58672,0.39875,0.4116,0.1591,2.40151,1.15218,1.04401,0.000264085,0.000264085,0.000264085
79,146.854,2.31047,1.26505,1.10086,0.73321,0.36487,0.41381,0.15829,2.41321,1.15851,1.04782,0.000253086,0.000253086,0.000253086
80,148.698,2.22405,1.2248,1.06262,0.69818,0.35796,0.3987,0.14776,2.47609,1.17121,1.05598,0.000242087,0.000242087,0.000242087
81,150.435,2.14112,1.15467,1.07186,0.67843,0.34152,0.37814,0.14103,2.50064,1.19095,1.06005,0.000231088,0.000231088,0.000231088
82,152.224,2.29963,1.17822,1.0761,0.664,0.3311,0.37171,0.14184,2.53167,1.18665,1.05951,0.000220089,0.000220089,0.000220089
83,154.009,2.26456,1.19051,1.07327,0.60105,0.33943,0.3669,0.14056,2.51141,1.18439,1.05924,0.00020909,0.00020909,0.00020909
84,154.11,2.18069,1.18404,1.08003,0.56351,0.361,0.35895,0.13555,2.51983,1.19403,1.05911,0.000198091,0.000198091,0.000198091
85,155.845,2.21953,1.19202,1.07928,0.5419,0.37702,0.37162,0.14204,2.48661,1.17746,1.05256,0.000187092,0.000187092,0.000187092
86,157.662,2.10812,1.13481,1.06356,0.54521,0.39172,0.38384,0.14664,2.48088,1.16201,1.04872,0.000176094,0.000176094,0.000176094
87,159.379,2.19886,1.16646,1.07318,0.73447,0.34758,0.39394,0.15712,2.45596,1.14386,1.04475,0.000165095,0.000165095,0.000165095
88,161.321,2.41557,1.27292,1.10388,0.54888,0.42364,0.42715,0.17483,2.39338,1.10051,1.03685,0.000154096,0.000154096,0.000154096
89,162.959,2.24855,1.1161,1.07304,0.58165,0.4151,0.42346,0.18115,2.35574,1.07988,1.03533,0.000143097,0.000143097,0.000143097
90,164.785,2.23216,1.19923,1.09652,0.67182,0.39661,0.43651,0.18416,2.31815,1.07455,1.03327,0.000132098,0.000132098,0.000132098
91,167.082,2.11188,1.16511,1.08636,0.67257,0.40683,0.43653,0.18182,2.3317,1.07727,1.03465,0.000121099,0.000121099,0.000121099
92,169.414,2.13266,1.24658,1.08284,0.64846,0.38215,0.42248,0.17688,2.33341,1.08845,1.03469,0.0001101,0.0001101,0.0001101
93,171.185,2.10694,1.2363,1.07521,0.61893,0.38041,0.41651,0.17332,2.35099,1.10249,1.03631,9.91012e-05,9.91012e-05,9.91012e-05
94,173.105,2.12057,1.31618,1.08711,0.63009,0.38072,0.4217,0.17276,2.36306,1.11031,1.03956,8.81023e-05,8.81023e-05,8.81023e-05
95,174.893,2.12237,1.15795,1.08362,0.62099,0.37952,0.42426,0.17211,2.35881,1.11856,1.0395,7.71034e-05,7.71034e-05,7.71034e-05
96,176.911,2.10693,1.2319,1.09485,0.52348,0.40626,0.41122,0.17214,2.34567,1.11401,1.03082,6.61045e-05,6.61045e-05,6.61045e-05
97,178.71,2.09313,1.201,1.09652,0.52644,0.40866,0.41275,0.1741,2.34192,1.10635,1.02924,5.51056e-05,5.51056e-05,5.51056e-05
98,180.434,2.13119,1.19116,1.06736,0.54698,0.42382,0.42364,0.17358,2.3451,1.10023,1.02955,4.41067e-05,4.41067e-05,4.41067e-05
99,182.244,2.06378,1.11946,1.06324,0.53054,0.43495,0.43146,0.17804,2.34543,1.10382,1.02665,3.31078e-05,3.31078e-05,3.31078e-05
100,184.296,2.11386,1.1706,1.05366,0.5328,0.43447,0.43516,0.18122,2.32906,1.10193,1.0221,2.21089e-05,2.21089e-05,2.21089e-05
